Antibody,Antigen,IC50,
0.5Ɣ,6535_3,0.3,
0.5Ɣ,89_6,<.05,
0.5Ɣ,AC10_29,110,
0.5Ɣ,BAL_01,<.05,
0.5Ɣ,CAAN5342,80,
0.5Ɣ,CAP210_E8,>150,
0.5Ɣ,CAP45_G3,>150,
0.5Ɣ,CH040_C,>150,
0.5Ɣ,CH058_C,>150,
0.5Ɣ,CH077_C,>150,
0.5Ɣ,CH106_C,>150,
0.5Ɣ,DU156_12,>150,
0.5Ɣ,DU172_17,>150,
0.5Ɣ,DU422_1,>150,
0.5Ɣ,HXB2,>150,
0.5Ɣ,JRFL,3.47,
0.5Ɣ,KKGO,0.83,
0.5Ɣ,KMT,3.42,
0.5Ɣ,KTS376_96,8.04,
0.5Ɣ,MOKW,<.05,
0.5Ɣ,PVO_4,35,
0.5Ɣ,QH0692_42,38,
0.5Ɣ,REJO4541_67,6.5,
0.5Ɣ,RHPA4259_7,10.5,
0.5Ɣ,SC422_8,>150,
0.5Ɣ,SF162,<.05,
0.5Ɣ,SUMA_D5_8_2,>150,
0.5Ɣ,TH966_8,>150,
0.5Ɣ,TH976_17,>150,
0.5Ɣ,THRO4156,>150,
0.5Ɣ,TRJO4551_58,4.5,
0.5Ɣ,TRO_11,82,
0.5Ɣ,UG037_8,>150,
0.5Ɣ,WITO4160_33,1.1,
0.5Ɣ,YKI,13.78,
0.5Ɣ,YU2,4.28,
0.5Ɣ,ZM109_4,>150,
0.5Ɣ,ZM135_10A,>150,
0.5Ɣ,ZM197_7,>150,
0.5Ɣ,ZM214_15,>150,
0.5Ɣ,ZM233_6,>150,
0.5Ɣ,ZM249_1,>150,
0.5Ɣ,ZM53_12,>150,
10-1074,0013095_2_11,5.84,
10-1074,0013095_2_11,>20,
10-1074,0013095_2_11,5.84,
10-1074,0013095_2_11,>50,
10-1074,0013095_2_11,4.22,
10-1074,0013095_2_11,>10,
10-1074,0013095_2_11,>10,
10-1074,0013095_2_11,5.84,
10-1074,0013095_2_11,>25,
10-1074,0013095_2_11,5.84,
10-1074,0013095_2_11,>50,
10-1074,001428_2_42,0.008,
10-1074,001428_2_42,0.055,
10-1074,001428_2_42,0.008,
10-1074,001428_2_42,0.044,
10-1074,001428_2_42,0.061,
10-1074,001428_2_42,0.035,
10-1074,001428_2_42,0.035,
10-1074,001428_2_42,0.008,
10-1074,001428_2_42,0.079,
10-1074,001428_2_42,0.008,
10-1074,001428_2_42,0.044,
10-1074,0041_V3_C18,>20,
10-1074,0041_V3_C18,>20,
10-1074,0077_V1_C16,>50,
10-1074,0077_V1_C16,>20,
10-1074,0077_V1_C16,>50,
10-1074,0077_V1_C16,>50,
10-1074,0077_V1_C16,>50,
10-1074,0077_V1_C16,>50,
10-1074,0077_V1_C16,>20,
10-1074,00836_2_5,>50,
10-1074,00836_2_5,>50,
10-1074,00836_2_5,>50,
10-1074,00836_2_5,>50,
10-1074,00836_2_5,>50,
10-1074,0260_V5_C36,0.13,
10-1074,0260_V5_C36,0.13,
10-1074,0260_V5_C36,0.201,
10-1074,0260_V5_C36,0.13,
10-1074,0260_V5_C36,0.099,
10-1074,0260_V5_C36,0.179,
10-1074,0260_V5_C36,0.13,
10-1074,0260_V5_C36,0.344,
10-1074,0260_V5_C36,0.13,
10-1074,0260_V5_C36,0.099,
10-1074,0260_V5_C36,0.164,
10-1074,0330_V4_C3,0.01,
10-1074,0330_V4_C3,0.01,
10-1074,0330_V4_C3,0.01,
10-1074,0330_V4_C3,0.054,
10-1074,0330_V4_C3,0.01,
10-1074,0330_V4_C3,0.034,
10-1074,0330_V4_C3,0.01,
10-1074,0330_V4_C3,0.043,
10-1074,0439_V5_C1,>50,
10-1074,0439_V5_C1,>50,
10-1074,0439_V5_C1,>50,
10-1074,0439_V5_C1,>50,
10-1074,0439_V5_C1,>50,
10-1074,0439_V5_C1,>50,
10-1074,0439_V5_C1,>50,
10-1074,0815_V3_C3,0.008,
10-1074,0815_V3_C3,0.008,
10-1074,0815_V3_C3,0.088,
10-1074,0815_V3_C3,0.008,
10-1074,0815_V3_C3,0.03,
10-1074,0815_V3_C3,0.065,
10-1074,0815_V3_C3,0.043,
10-1074,0815_V3_C3,0.043,
10-1074,0815_V3_C3,0.008,
10-1074,0815_V3_C3,0.025,
10-1074,0815_V3_C3,0.008,
10-1074,0815_V3_C3,0.03,
10-1074,0921_V2_C14,>50,
10-1074,0921_V2_C14,>20,
10-1074,0921_V2_C14,>50,
10-1074,0921_V2_C14,>50,
10-1074,0921_V2_C14,>50,
10-1074,0921_V2_C14,>50,
10-1074,0921_V2_C14,>20,
10-1074,0933_V4_C4,>20,
10-1074,0933_V4_C4,>20,
10-1074,0984_V2_C2,0.954,
10-1074,0984_V2_C2,0.954,
10-1074,09GX268,>10,
10-1074,09GX268_E332N_N334S,5.875,
10-1074,09GX285,>10,
10-1074,09GX285_E332N_N334S,0.288,
10-1074,09GX286,>10,
10-1074,09GX300,>10,
10-1074,09GX310,>10,
